RANK_2025,RANK_2024,Institution_Name,Location,Region,SIZE,FOCUS,RES.,STATUS,Academic_Reputation_Score,Academic_Reputation_Rank,Employer_Reputation_Score,Employer_Reputation_Rank,Faculty_Student_Score,Faculty_Student_Rank,Citations_per_Faculty_Score,Citations_per_Faculty_Rank,International_Faculty_Score,International_Faculty_Rank,International_Students_Score,International_Students_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,SIZE_numeric,FOCUS_numeric,RES_numeric,STATUS_numeric,Region_Africa,Region_Americas,Region_Asia,Region_Europe,Region_Oceania
388.0,400.0,Universidade Nova de Lisboa,Portugal,Europe,L,FC,VH,A,28.7,305.0,21.8,425.0,15.9,701.0,23.9,509.0,25.3,528.0,57.0,260.0,86.3,227.0,48.7,264.0,38.2,,3,,4,,False,False,False,True,False
389.0,595.0,Università Vita-Salute San Raffaele,Italy,Europe,S,SP,VH,B,3.3,601.0,1.8,601.0,94.4,66.0,88.5,80.0,4.4,701.0,4.3,701.0,39.2,701.0,2.1,701.0,1.2,701.0,1,,4,,False,False,False,True,False
389.0,368.0,University of Cyprus (UCY),Cyprus,Asia,M,CO,VH,A,10.0,601.0,4.7,601.0,4.5,701.0,75.0,135.0,93.8,162.0,20.0,541.0,73.4,429.0,42.1,308.0,5.8,701.0,2,0.0,4,,False,False,True,False,False
389.0,302.0,Virginia Polytechnic Institute and State University,United States,Americas,XL,FC,VH,A,26.4,336.0,26.2,364.0,18.9,701.0,28.4,459.0,71.8,277.0,16.5,594.0,82.6,282.0,24.0,471.0,34.8,,4,,4,,False,True,False,False,False
392.0,387.0,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,Asia,M,FO,VH,A,27.6,320.0,37.9,248.0,43.5,358.0,29.4,439.0,19.7,603.0,25.5,471.0,29.8,701.0,19.9,563.0,38.8,,2,1.0,4,,False,False,True,False,False
393.0,444.0,National and Kapodistrian University of Athens,Greece,Europe,XL,FC,VH,A,26.7,329.0,33.2,283.0,2.1,701.0,31.0,426.0,9.9,701.0,15.9,609.0,86.6,222.0,85.8,96.0,29.3,,4,,4,,False,False,False,True,False
393.0,332.0,"University of California, Santa Cruz",United States,Americas,L,CO,VH,A,17.7,512.0,5.9,601.0,7.4,701.0,65.3,170.0,53.4,348.0,7.0,701.0,64.5,566.0,6.1,701.0,83.6,,3,0.0,4,,False,True,False,False,False
393.0,489.0,"University of Rome ""Tor Vergata""",Italy,Europe,L,CO,VH,A,31.3,285.0,15.4,547.0,9.0,701.0,47.2,287.0,9.6,701.0,30.8,422.0,69.1,495.0,6.3,701.0,57.7,,3,0.0,4,,False,False,False,True,False
396.0,375.0,Northeastern University,United States,Americas,XL,CO,VH,B,19.2,470.0,11.8,601.0,15.4,701.0,24.6,501.0,51.6,360.0,96.4,85.0,67.3,516.0,44.0,291.0,72.3,,4,0.0,4,,False,True,False,False,False
396.0,375.0,Ruhr-Universität Bochum,Germany,Europe,XL,FC,VH,A,20.3,437.0,8.8,601.0,2.5,701.0,53.4,240.0,48.8,371.0,39.3,358.0,87.3,209.0,16.2,632.0,53.5,,4,,4,,False,False,False,True,False
